cell,windows,subject,protocol,seed,kappa,accuracy,n_test,n_arms_surviving,n_arms_total,stream_rounds_run
05_25,0.5-2.5,6,official,2,0.31666666666666665,0.6583333333333333,120,28,54,84
05_25,0.5-2.5,6,official,3,0.050000000000000044,0.525,120,22,54,84
05_25,0.5-2.5,6,official,42,0.18333333333333335,0.5916666666666667,120,20,54,84
05_25,0.5-2.5,7,within,0,0.08333333333333337,0.5416666666666666,48,38,54,134
05_25,0.5-2.5,7,within,1,0.33333333333333337,0.6666666666666666,48,38,54,134
05_25,0.5-2.5,7,within,2,0.29166666666666663,0.6458333333333334,48,22,54,134
05_25,0.5-2.5,7,within,3,0.16666666666666663,0.5833333333333334,48,14,54,134
05_25,0.5-2.5,7,within,42,-0.08333333333333326,0.4583333333333333,48,32,54,134
05_25,0.5-2.5,7,official,0,0.30000000000000004,0.65,120,36,54,84
05_25,0.5-2.5,7,official,1,0.1333333333333333,0.5666666666666667,120,32,54,84
05_25,0.5-2.5,7,official,2,0.16666666666666663,0.5833333333333334,120,20,54,84
05_25,0.5-2.5,7,official,3,0.08333333333333337,0.5416666666666666,120,18,54,84
05_25,0.5-2.5,7,official,42,-0.08333333333333326,0.4583333333333333,120,16,54,84
05_25,0.5-2.5,8,within,0,0.0714285714285714,0.5357142857142857,56,14,54,157
05_25,0.5-2.5,8,within,1,0.0357142857142857,0.5178571428571429,56,12,54,157
05_25,0.5-2.5,8,within,2,-0.1071428571428572,0.44642857142857145,56,14,54,157
05_25,0.5-2.5,8,within,3,0.0,0.5,56,32,54,157
05_25,0.5-2.5,8,within,42,0.1071428571428571,0.5535714285714286,56,16,54,157
05_25,0.5-2.5,8,official,0,0.09999999999999998,0.55,120,32,54,112
05_25,0.5-2.5,8,official,1,0.09999999999999998,0.55,120,34,54,112
05_25,0.5-2.5,8,official,2,-0.03333333333333344,0.48333333333333334,120,26,54,112
05_25,0.5-2.5,8,official,3,0.1166666666666667,0.5583333333333333,120,20,54,112
05_25,0.5-2.5,8,official,42,0.1333333333333333,0.5666666666666667,120,16,54,112
05_25,0.5-2.5,9,within,0,0.125,0.5625,48,30,54,134
05_25,0.5-2.5,9,within,1,0.125,0.5625,48,28,54,134
05_25,0.5-2.5,9,within,2,-0.125,0.4375,48,24,54,134
05_25,0.5-2.5,9,within,3,-0.16666666666666674,0.4166666666666667,48,28,54,134
05_25,0.5-2.5,9,within,42,0.08333333333333337,0.5416666666666666,48,28,54,134
05_25,0.5-2.5,9,official,0,0.18333333333333335,0.5916666666666667,120,20,54,84
05_25,0.5-2.5,9,official,1,0.19999999999999996,0.6,120,14,54,84
05_25,0.5-2.5,9,official,2,0.19999999999999996,0.6,120,30,54,84
