dataset,montage,subject,seed,n_channels,best_arm_kappa,best_arm_accuracy,best_arm_id,best_arm_spatial,n_arms_surviving,n_test,error
COGBCI,full,16,1,62,0.663125,0.7755102040816326,0,csp,90,49,
COGBCI,full,16,2,62,0.908125,0.9387755102040816,57,identity,91,49,
COGBCI,full,16,3,62,0.8465873512836568,0.8979591836734694,58,identity,80,49,
COGBCI,full,16,42,62,0.8775,0.9183673469387756,33,identity,100,49,
COGBCI,full,17,0,62,0.755,0.8367346938775511,36,csp,79,49,
COGBCI,full,17,1,62,1.0,1.0,72,csp,100,49,
COGBCI,full,17,2,62,0.7846829880728186,0.8571428571428571,36,csp,100,49,
COGBCI,full,17,3,62,0.9079524107701942,0.9387755102040816,60,csp,85,49,
COGBCI,full,17,42,62,0.8463949843260188,0.8979591836734694,12,csp,100,49,
COGBCI,full,18,0,62,0.7977777777777777,0.8653846153846154,93,identity,100,52,
COGBCI,full,18,1,62,0.9422222222222222,0.9615384615384616,24,csp,100,52,
COGBCI,full,18,2,62,0.9132369299221356,0.9423076923076924,48,csp,100,52,
COGBCI,full,18,3,62,0.7688888888888888,0.8461538461538461,57,identity,100,52,
COGBCI,full,18,42,62,0.8844444444444445,0.9230769230769232,36,csp,100,52,
COGBCI,full,19,0,62,0.97000599880024,0.98,33,identity,100,50,
COGBCI,full,19,1,62,0.9399759903961584,0.96,34,identity,100,50,
COGBCI,full,19,2,62,1.0,1.0,12,csp,100,50,
COGBCI,full,19,3,62,0.9101258238466148,0.94,33,identity,100,50,
COGBCI,full,19,42,62,0.93993993993994,0.96,0,csp,100,50,
COGBCI,full,20,0,62,0.5621064682312535,0.7058823529411765,48,csp,88,51,
COGBCI,full,20,1,62,0.9117647058823528,0.9411764705882352,96,csp,100,51,
COGBCI,full,20,2,62,0.8822170900692841,0.9215686274509804,96,csp,90,51,
COGBCI,full,20,3,62,0.5583140877598152,0.7058823529411765,81,identity,86,51,
COGBCI,full,20,42,62,0.9118155619596542,0.9411764705882352,84,csp,90,51,
COGBCI,full,21,0,62,0.9117647058823528,0.9411764705882352,71,identity,99,51,
COGBCI,full,21,1,62,0.9705882352941176,0.9803921568627452,36,csp,98,51,
COGBCI,full,21,2,62,0.9705882352941176,0.9803921568627452,33,identity,100,51,
COGBCI,full,21,3,62,1.0,1.0,48,csp,100,51,
COGBCI,full,21,42,62,0.7941176470588236,0.8627450980392157,84,csp,100,51,
COGBCI,full,22,0,62,0.705404112864658,0.8035714285714286,69,identity,100,56,
COGBCI,full,22,1,62,0.8130662851692895,0.875,84,csp,100,56,
COGBCI,full,22,2,62,0.6248803827751196,0.75,46,identity,99,56,
COGBCI,full,22,3,62,0.8125298900047824,0.875,60,csp,100,56,
COGBCI,full,22,42,62,0.8659645763523217,0.9107142857142856,74,csp,100,56,
COGBCI,full,23,0,62,0.8773466833541927,0.9183673469387756,93,identity,100,49,
COGBCI,full,23,1,62,0.908125,0.9387755102040816,93,identity,100,49,
COGBCI,full,23,2,62,0.8775,0.9183673469387756,70,identity,91,49,
COGBCI,full,23,3,62,0.724375,0.8163265306122449,45,identity,88,49,
COGBCI,full,23,42,62,0.6641744548286604,0.7755102040816326,48,csp,98,49,
COGBCI,full,24,0,62,0.943436499466382,0.9622641509433962,72,csp,99,53,
COGBCI,full,24,1,62,0.971627408993576,0.981132075471698,60,csp,100,53,
COGBCI,full,24,2,62,0.9431939978563773,0.9622641509433962,60,csp,94,53,
COGBCI,full,24,3,62,0.6845238095238095,0.7924528301886793,84,csp,100,53,
COGBCI,full,24,42,62,0.7424406047516199,0.8301886792452831,84,csp,84,53,
COGBCI,full,25,0,62,0.769656699889258,0.8461538461538461,105,identity,97,52,
COGBCI,full,25,1,62,0.6829268292682926,0.7884615384615384,69,identity,85,52,
COGBCI,full,25,2,62,0.740432612312812,0.8269230769230769,93,identity,89,52,
COGBCI,full,25,3,62,0.8272425249169435,0.8846153846153846,93,identity,97,52,
COGBCI,full,25,42,62,0.7397107897664071,0.8269230769230769,36,csp,97,52,
COGBCI,full,26,0,62,0.9422222222222222,0.9615384615384616,84,csp,97,52,
COGBCI,full,26,1,62,0.7690172126596335,0.8461538461538461,72,csp,95,52,
COGBCI,full,26,2,62,0.9132851584213452,0.9423076923076923,72,csp,88,52,
COGBCI,full,26,3,62,0.7389849414389291,0.8269230769230769,60,csp,86,52,
COGBCI,full,26,42,62,0.7117516629711752,0.8076923076923077,93,identity,100,52,
COGBCI,full,27,0,62,0.755,0.8367346938775511,36,csp,79,49,
COGBCI,full,27,1,62,1.0,1.0,72,csp,100,49,
COGBCI,full,27,2,62,0.7846829880728186,0.8571428571428571,36,csp,100,49,
COGBCI,full,27,3,62,0.9079524107701942,0.9387755102040817,60,csp,85,49,
COGBCI,full,27,42,62,0.8463949843260188,0.8979591836734694,12,csp,100,49,
COGBCI,full,28,0,62,0.769656699889258,0.8461538461538461,105,identity,97,52,
COGBCI,full,28,1,62,0.6829268292682926,0.7884615384615384,69,identity,85,52,
COGBCI,full,28,2,62,0.740432612312812,0.8269230769230769,93,identity,89,52,
COGBCI,full,28,3,62,0.8272425249169435,0.8846153846153846,93,identity,97,52,
COGBCI,full,28,42,62,0.7397107897664071,0.8269230769230769,36,csp,97,52,
COGBCI,full,29,0,62,0.9705372616984402,0.9803921568627451,36,csp,100,51,
COGBCI,full,29,1,62,0.9705712637045586,0.9803921568627451,33,identity,100,51,
COGBCI,full,29,2,62,0.9705712637045586,0.9803921568627451,0,csp,100,51,
COGBCI,full,29,3,62,0.9115095430884904,0.9411764705882353,12,csp,100,51,
COGBCI,full,29,42,62,0.9705712637045586,0.9803921568627451,12,csp,100,51,
COGBCI,nearear,1,0,2,0.4730238393977415,0.65,105,identity,78,60,
COGBCI,nearear,1,1,2,0.23761118170266837,0.5,69,identity,34,60,
COGBCI,nearear,1,2,2,0.39571968107427613,0.6,94,identity,51,60,
COGBCI,nearear,1,3,2,0.5465994962216625,0.7,93,identity,71,60,
COGBCI,nearear,1,42,2,0.4529631164525487,0.6333333333333333,85,csp,64,60,
COGBCI,nearear,2,0,2,0.42500000000000004,0.6166666666666667,36,csp,100,60,
COGBCI,nearear,2,1,2,0.44999999999999996,0.6333333333333333,38,csp,87,60,
COGBCI,nearear,2,2,2,0.42500000000000004,0.6166666666666667,36,csp,83,60,
COGBCI,nearear,2,3,2,0.5,0.6666666666666666,50,csp,98,60,
COGBCI,nearear,2,42,2,0.575,0.7166666666666667,48,csp,100,60,
