dataset,montage,subject,protocol,seed,alpha,calibration_frac,window_size,n_components,n_channels,context,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,error
COGBCI,full,29,within,2,0.5,0.3,50,4,62,workload,0.9705712637045586,0.9803921568627452,51,100,31,1.0,
COGBCI,full,29,within,3,0.5,0.3,50,4,62,workload,0.9115095430884904,0.9411764705882352,51,100,17,1.0,
COGBCI,full,29,within,42,0.5,0.3,50,4,62,workload,0.9705712637045586,0.9803921568627452,51,100,17,0.0,
COGBCI,nearear,1,within,0,0.5,0.3,50,4,2,workload,0.4703656998738965,0.65,60,78,167,60.0,
COGBCI,nearear,1,within,1,0.5,0.3,50,4,2,workload,0.2376111817026683,0.5,60,34,167,60.0,
COGBCI,nearear,1,within,2,0.5,0.3,50,4,2,workload,0.2899408284023668,0.5333333333333333,60,51,167,78.0,
COGBCI,nearear,1,within,3,0.5,0.3,50,4,2,workload,0.5465994962216625,0.7,60,71,167,60.0,
COGBCI,nearear,1,within,42,0.5,0.3,50,4,2,workload,0.6003330557868443,0.7333333333333333,60,64,167,75.0,
COGBCI,nearear,2,within,0,0.5,0.3,50,4,2,workload,0.425,0.6166666666666667,60,100,166,47.0,
COGBCI,nearear,2,within,1,0.5,0.3,50,4,2,workload,0.4,0.6,60,87,166,74.0,
COGBCI,nearear,2,within,2,0.5,0.3,50,4,2,workload,0.25,0.5,60,83,166,68.0,
COGBCI,nearear,2,within,3,0.5,0.3,50,4,2,workload,0.3,0.5333333333333333,60,98,166,72.0,
COGBCI,nearear,2,within,42,0.5,0.3,50,4,2,workload,0.525,0.6833333333333333,60,100,166,67.0,
COGBCI,nearear,3,within,0,0.5,0.3,50,4,2,workload,0.3650920736589271,0.5737704918032787,61,95,169,66.0,
COGBCI,nearear,3,within,1,0.5,0.3,50,4,2,workload,0.4623397435897436,0.639344262295082,61,62,169,72.0,
COGBCI,nearear,3,within,2,0.5,0.3,50,4,2,workload,0.4115755627009647,0.6065573770491803,61,97,169,72.0,
COGBCI,nearear,3,within,3,0.5,0.3,50,4,2,workload,0.3830906148867313,0.5901639344262295,61,66,169,63.0,
COGBCI,nearear,3,within,42,0.5,0.3,50,4,2,workload,0.3820907617504052,0.5901639344262295,61,92,169,65.0,
COGBCI,nearear,4,within,0,0.5,0.3,50,4,2,workload,0.1999999999999999,0.4666666666666667,60,90,168,89.0,
COGBCI,nearear,4,within,1,0.5,0.3,50,4,2,workload,0.3249999999999999,0.55,60,75,168,85.0,
COGBCI,nearear,4,within,2,0.5,0.3,50,4,2,workload,0.3,0.5333333333333333,60,80,168,89.0,
COGBCI,nearear,4,within,3,0.5,0.3,50,4,2,workload,0.1999999999999999,0.4666666666666667,60,67,168,75.0,
COGBCI,nearear,4,within,42,0.5,0.3,50,4,2,workload,0.175,0.45,60,86,168,93.0,
COGBCI,nearear,5,within,0,0.5,0.3,50,4,2,workload,0.2318840579710145,0.490566037735849,53,56,146,73.0,
COGBCI,nearear,5,within,1,0.5,0.3,50,4,2,workload,0.3526287838555495,0.5660377358490566,53,67,146,77.0,
COGBCI,nearear,5,within,2,0.5,0.3,50,4,2,workload,0.2910647405029427,0.5283018867924528,53,91,146,79.0,
COGBCI,nearear,5,within,3,0.5,0.3,50,4,2,workload,0.2857142857142857,0.5283018867924528,53,51,146,60.0,
COGBCI,nearear,5,within,42,0.5,0.3,50,4,2,workload,0.2910647405029427,0.5283018867924528,53,63,146,79.0,
COGBCI,nearear,6,within,0,0.5,0.3,50,4,2,workload,0.2058823529411765,0.4705882352941176,51,81,141,35.0,
COGBCI,nearear,6,within,1,0.5,0.3,50,4,2,workload,0.2058823529411765,0.4705882352941176,51,84,141,64.0,
COGBCI,nearear,6,within,2,0.5,0.3,50,4,2,workload,0.0588235294117647,0.3725490196078431,51,52,141,53.0,
COGBCI,nearear,6,within,3,0.5,0.3,50,4,2,workload,0.2352941176470588,0.4901960784313725,51,94,141,50.0,
COGBCI,nearear,6,within,42,0.5,0.3,50,4,2,workload,0.3529411764705882,0.5686274509803921,51,90,141,43.0,
COGBCI,nearear,7,within,0,0.5,0.3,50,4,2,workload,0.5072463768115942,0.6730769230769231,52,91,144,48.0,
COGBCI,nearear,7,within,1,0.5,0.3,50,4,2,workload,0.5398230088495576,0.6923076923076923,52,89,144,38.0,
COGBCI,nearear,7,within,2,0.5,0.3,50,4,2,workload,0.710789766407119,0.8076923076923077,52,87,144,27.0,
COGBCI,nearear,7,within,3,0.5,0.3,50,4,2,workload,0.7688888888888888,0.8461538461538461,52,96,144,31.0,
COGBCI,nearear,7,within,42,0.5,0.3,50,4,2,workload,0.6823986674069962,0.7884615384615384,52,90,144,31.0,
COGBCI,nearear,8,within,0,0.5,0.3,50,4,2,workload,0.2352941176470588,0.4901960784313725,51,82,143,86.0,
COGBCI,nearear,8,within,1,0.5,0.3,50,4,2,workload,0.4411764705882353,0.6274509803921569,51,68,143,58.0,
COGBCI,nearear,8,within,2,0.5,0.3,50,4,2,workload,0.2941176470588235,0.5294117647058824,51,67,143,67.0,
COGBCI,nearear,8,within,3,0.5,0.3,50,4,2,workload,0.1470588235294118,0.4313725490196078,51,52,143,76.0,
COGBCI,nearear,8,within,42,0.5,0.3,50,4,2,workload,0.3235294117647058,0.5490196078431373,51,82,143,55.0,
COGBCI,nearear,9,within,0,0.5,0.3,50,4,2,workload,0.5914702581369249,0.7307692307692307,52,83,143,48.0,
COGBCI,nearear,9,within,1,0.5,0.3,50,4,2,workload,0.4759238521836506,0.6538461538461539,52,83,143,55.0,
COGBCI,nearear,9,within,2,0.5,0.3,50,4,2,workload,0.4820143884892086,0.6538461538461539,52,96,143,65.0,
COGBCI,nearear,9,within,3,0.5,0.3,50,4,2,workload,0.4802887284841755,0.6538461538461539,52,97,143,37.0,
COGBCI,nearear,9,within,42,0.5,0.3,50,4,2,workload,0.3307218802462227,0.5576923076923077,52,85,143,49.0,
COGBCI,nearear,10,within,0,0.5,0.3,50,4,2,workload,0.1846153846153846,0.4528301886792453,53,89,147,54.0,
COGBCI,nearear,10,within,1,0.5,0.3,50,4,2,workload,0.3758029978586723,0.5849056603773585,53,56,147,85.0,
COGBCI,nearear,10,within,2,0.5,0.3,50,4,2,workload,0.2310585706609349,0.490566037735849,53,53,147,76.0,
COGBCI,nearear,10,within,3,0.5,0.3,50,4,2,workload,0.2937100213219616,0.5283018867924528,53,81,147,79.0,
COGBCI,nearear,10,within,42,0.5,0.3,50,4,2,workload,0.2047159699892818,0.4716981132075472,53,89,147,75.0,
COGBCI,nearear,11,within,0,0.5,0.3,50,4,2,workload,-0.0825688073394497,0.288135593220339,59,84,163,105.0,
COGBCI,nearear,11,within,1,0.5,0.3,50,4,2,workload,0.0615320217664295,0.3559322033898305,59,65,163,99.0,
COGBCI,nearear,11,within,2,0.5,0.3,50,4,2,workload,-0.1217745586238119,0.288135593220339,59,23,163,79.0,
COGBCI,nearear,11,within,3,0.5,0.3,50,4,2,workload,0.0117700316885468,0.3728813559322034,59,32,163,71.0,
COGBCI,nearear,11,within,42,0.5,0.3,50,4,2,workload,0.0098967297762477,0.3389830508474576,59,11,163,87.0,
COGBCI,nearear,12,within,0,0.5,0.3,50,4,2,workload,0.5288683602771362,0.6862745098039216,51,100,140,44.0,
COGBCI,nearear,12,within,1,0.5,0.3,50,4,2,workload,0.5572916666666667,0.7058823529411765,51,94,140,39.0,
COGBCI,nearear,12,within,2,0.5,0.3,50,4,2,workload,0.6764705882352942,0.7843137254901961,51,96,140,48.0,
COGBCI,nearear,12,within,3,0.5,0.3,50,4,2,workload,0.734375,0.8235294117647058,51,83,140,45.0,
COGBCI,nearear,12,within,42,0.5,0.3,50,4,2,workload,0.5,0.6666666666666666,51,96,140,38.0,
COGBCI,nearear,13,within,0,0.5,0.3,50,4,2,workload,0.5,0.6666666666666666,51,97,142,52.0,
COGBCI,nearear,13,within,1,0.5,0.3,50,4,2,workload,0.4705882352941176,0.6470588235294118,51,93,142,56.0,
COGBCI,nearear,13,within,2,0.5,0.3,50,4,2,workload,0.4705882352941176,0.6470588235294118,51,95,142,54.0,
COGBCI,nearear,13,within,3,0.5,0.3,50,4,2,workload,0.4705882352941176,0.6470588235294118,51,63,142,61.0,
COGBCI,nearear,13,within,42,0.5,0.3,50,4,2,workload,0.6764705882352942,0.7843137254901961,51,100,142,51.0,
COGBCI,nearear,14,within,0,0.5,0.3,50,4,2,workload,0.356651376146789,0.5686274509803921,51,90,140,53.0,
COGBCI,nearear,14,within,1,0.5,0.3,50,4,2,workload,0.388,0.5882352941176471,51,86,140,69.0,
COGBCI,nearear,14,within,2,0.5,0.3,50,4,2,workload,0.3809248554913295,0.5882352941176471,51,100,140,59.0,
COGBCI,nearear,14,within,3,0.5,0.3,50,4,2,workload,0.3469150174621653,0.5686274509803921,51,95,140,64.0,
COGBCI,nearear,14,within,42,0.5,0.3,50,4,2,workload,0.3227482678983834,0.5490196078431373,51,93,140,70.0,
COGBCI,nearear,15,within,0,0.5,0.3,50,4,2,workload,0.05140758873929,0.38,50,72,138,80.0,
COGBCI,nearear,15,within,1,0.5,0.3,50,4,2,workload,0.3255131964809384,0.54,50,60,138,86.0,
COGBCI,nearear,15,within,2,0.5,0.3,50,4,2,workload,0.1743119266055046,0.46,50,70,138,75.0,
COGBCI,nearear,15,within,3,0.5,0.3,50,4,2,workload,0.139520590043024,0.44,50,62,138,72.0,
COGBCI,nearear,15,within,42,0.5,0.3,50,4,2,workload,0.1082045184304399,0.4,50,43,138,77.0,
COGBCI,nearear,16,within,0,0.5,0.3,50,4,2,workload,0.448405253283302,0.6326530612244898,49,61,137,70.0,
COGBCI,nearear,16,within,1,0.5,0.3,50,4,2,workload,0.1381909547738694,0.4285714285714285,49,82,137,70.0,
COGBCI,nearear,16,within,2,0.5,0.3,50,4,2,workload,0.4195760598503741,0.6122448979591837,49,57,137,54.0,
COGBCI,nearear,16,within,3,0.5,0.3,50,4,2,workload,0.2617702448210922,0.5102040816326531,49,63,137,64.0,
COGBCI,nearear,16,within,42,0.5,0.3,50,4,2,workload,0.448405253283302,0.6326530612244898,49,60,137,71.0,
COGBCI,nearear,17,within,0,0.5,0.3,50,4,2,workload,0.0303030303030302,0.3469387755102041,49,75,137,63.0,
COGBCI,nearear,17,within,1,0.5,0.3,50,4,2,workload,0.172607879924953,0.4489795918367347,49,100,137,69.0,
COGBCI,nearear,17,within,2,0.5,0.3,50,4,2,workload,0.2300439974858579,0.4897959183673469,49,94,137,59.0,
COGBCI,nearear,17,within,3,0.5,0.3,50,4,2,workload,0.2654590880699562,0.5102040816326531,49,46,137,72.0,
COGBCI,nearear,17,within,42,0.5,0.3,50,4,2,workload,0.2032520325203252,0.4693877551020408,49,95,137,65.0,
