dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,n_components,include_riemann_arms,epoch_seconds,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret
STEW,35,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,100,36,4.0
STEW,35,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.5871559633027523,0.8,15,94,41,4.0
STEW,35,within,within_fold0,42,0.5,0.3,50,4,False,4.0,1.0,1.0,15,94,31,1.0
STEW,36,within,within_fold0,0,0.5,0.3,50,4,False,4.0,1.0,1.0,15,90,41,9.0
STEW,36,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.5871559633027523,0.8,15,78,41,4.0
STEW,36,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.4736842105263158,0.7333333333333333,15,100,41,11.0
STEW,36,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.7321428571428572,0.8666666666666667,15,91,41,13.0
STEW,36,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.7321428571428572,0.8666666666666667,15,100,41,7.0
STEW,37,within,within_fold0,0,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,3.0
STEW,37,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.8648648648648649,0.9333333333333333,15,100,41,2.0
STEW,37,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,100,41,1.0
STEW,37,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.7272727272727273,0.8666666666666667,15,88,41,1.0
STEW,37,within,within_fold0,42,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,3.0
STEW,38,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.736842105263158,0.8666666666666667,15,100,41,5.0
STEW,38,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,100,41,2.0
STEW,38,within,within_fold0,2,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,31,2.0
STEW,38,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.8648648648648649,0.9333333333333333,15,86,41,5.0
STEW,38,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,100,41,1.0
STEW,39,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,86,41,6.0
STEW,39,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,99,41,8.0
STEW,39,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.4736842105263158,0.7333333333333333,15,89,41,7.0
STEW,39,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.1964285714285714,0.6,15,73,41,10.0
STEW,39,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.35897435897435903,0.6666666666666666,15,92,41,7.0
STEW,40,within,within_fold0,0,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,1.0
STEW,40,within,within_fold0,1,0.5,0.3,50,4,False,4.0,1.0,1.0,15,92,41,4.0
STEW,40,within,within_fold0,2,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,0.0
STEW,40,within,within_fold0,3,0.5,0.3,50,4,False,4.0,1.0,1.0,15,96,41,6.0
STEW,40,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.736842105263158,0.8666666666666667,15,100,41,3.0
STEW,41,within,within_fold0,0,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,33,0.0
STEW,41,within,within_fold0,1,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,0.0
STEW,41,within,within_fold0,2,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,33,0.0
STEW,41,within,within_fold0,3,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,0.0
STEW,41,within,within_fold0,42,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,33,0.0
STEW,43,within,within_fold0,0,0.5,0.3,50,4,False,4.0,1.0,1.0,15,83,41,6.0
STEW,43,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.4545454545454546,0.7333333333333333,15,67,41,9.0
STEW,43,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,94,41,10.0
STEW,43,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.5945945945945946,0.8,15,65,41,6.0
STEW,43,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.32432432432432434,0.6666666666666666,15,76,41,9.0
STEW,44,within,within_fold0,0,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,3.0
STEW,44,within,within_fold0,1,0.5,0.3,50,4,False,4.0,1.0,1.0,15,86,41,9.0
STEW,44,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,96,41,5.0
STEW,44,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.5871559633027523,0.8,15,89,41,8.0
STEW,44,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.6086956521739131,0.8,15,100,41,7.0
STEW,45,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.8648648648648649,0.9333333333333333,15,100,41,3.0
STEW,45,within,within_fold0,1,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,2.0
STEW,45,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.8648648648648649,0.9333333333333333,15,100,41,0.0
STEW,45,within,within_fold0,3,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,3.0
STEW,45,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,100,41,3.0
STEW,46,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.7321428571428572,0.8666666666666667,15,88,41,5.0
STEW,46,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.5945945945945946,0.8,15,92,41,10.0
STEW,46,within,within_fold0,2,0.5,0.3,50,4,False,4.0,1.0,1.0,15,86,41,9.0
STEW,46,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.7272727272727273,0.8666666666666667,15,90,41,12.0
STEW,46,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.7272727272727273,0.8666666666666667,15,92,41,13.0
STEW,47,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.6017699115044248,0.8,15,61,41,5.0
STEW,47,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.7272727272727273,0.8666666666666667,15,86,41,7.0
STEW,47,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.34782608695652173,0.6666666666666666,15,98,41,8.0
STEW,47,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.8648648648648649,0.9333333333333333,15,77,41,8.0
STEW,47,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.4736842105263158,0.7333333333333333,15,84,41,3.0
STEW,48,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.5871559633027523,0.8,15,100,41,3.0
STEW,48,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.5945945945945946,0.8,15,75,41,4.0
STEW,48,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.4642857142857143,0.7333333333333333,15,100,41,6.0
STEW,48,within,within_fold0,3,0.5,0.3,50,4,False,4.0,1.0,1.0,15,88,41,3.0
STEW,48,within,within_fold0,42,0.5,0.3,50,4,False,4.0,-0.15384615384615374,0.4,15,96,41,4.0
