dataset,protocol,montage,method,feature_family,classifier,subject,seed,kappa,accuracy,n_train,n_test,n_channels,n_arms_surviving,final_regret,error
COGBCI-PVT,cross,nearear,ccb,,,5,2,-0.011111111111111072,0.49444444444444446,90,180,2,27,31.0,
COGBCI-PVT,cross,nearear,ccb,,,5,3,-0.0888888888888888,0.45555555555555555,90,180,2,54,32.0,
COGBCI-PVT,cross,nearear,ccb,,,5,42,0.0,0.5,90,180,2,58,28.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,lda,6,-1,-0.22222222222222232,0.3888888888888889,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,svm,6,-1,-0.22222222222222232,0.3888888888888889,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,decision_tree,6,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,random_forest,6,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,lda,6,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,svm,6,-1,-0.22222222222222232,0.3888888888888889,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,decision_tree,6,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,random_forest,6,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,ccb,,,6,0,0.2222222222222222,0.6111111111111112,72,18,2,52,23.0,
COGBCI-PVT,within,nearear,ccb,,,6,1,0.0,0.5,72,18,2,34,25.0,
COGBCI-PVT,within,nearear,ccb,,,6,2,0.0,0.5,72,18,2,28,26.0,
COGBCI-PVT,within,nearear,ccb,,,6,3,0.2222222222222222,0.6111111111111112,72,18,2,35,26.0,
COGBCI-PVT,within,nearear,ccb,,,6,42,-0.11111111111111116,0.4444444444444444,72,18,2,38,18.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,lda,6,-1,0.011111111111111072,0.5055555555555555,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,svm,6,-1,0.0444444444444444,0.5222222222222223,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,decision_tree,6,-1,-0.03333333333333344,0.48333333333333334,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,random_forest,6,-1,0.0888888888888889,0.5444444444444444,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,lda,6,-1,0.011111111111111072,0.5055555555555555,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,svm,6,-1,0.0888888888888889,0.5444444444444444,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,decision_tree,6,-1,-0.07777777777777772,0.46111111111111114,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,random_forest,6,-1,0.0444444444444444,0.5222222222222223,90,180,2,0,0.0,
