dataset,montage,feature_family,classifier,subject,fold,seed,kappa,accuracy,n_train,n_test,n_channels,error
UAB,full,fbcsp,svm,5,1,42,0.945038230699663,0.9633507853403142,764,191,14,
UAB,full,fbcsp,decision_tree,5,1,42,0.8979113559740153,0.9319371727748692,764,191,14,
UAB,full,fbcsp,random_forest,5,1,42,0.9293348680424236,0.9528795811518324,764,191,14,
UAB,full,bandpower,lda,5,1,42,0.9685932746855216,0.9790575916230366,764,191,14,
UAB,full,bandpower,svm,5,1,42,0.9685881095304664,0.9790575916230366,764,191,14,
UAB,full,bandpower,decision_tree,5,1,42,0.8429147133810346,0.8952879581151832,764,191,14,
UAB,full,bandpower,random_forest,5,1,42,0.929323246443549,0.9528795811518324,764,191,14,
UAB,full,fbcsp,lda,5,2,42,0.9450608152531228,0.9633507853403142,764,191,14,
UAB,full,fbcsp,svm,5,2,42,0.9529034644310196,0.9685863874345548,764,191,14,
UAB,full,fbcsp,decision_tree,5,2,42,0.8587045865526878,0.9057591623036648,764,191,14,
UAB,full,fbcsp,random_forest,5,2,42,0.9528937849391648,0.9685863874345548,764,191,14,
UAB,full,bandpower,lda,5,2,42,0.960741593356902,0.9738219895287958,764,191,14,
UAB,full,bandpower,svm,5,2,42,0.9528879753340184,0.9685863874345548,764,191,14,
UAB,full,bandpower,decision_tree,5,2,42,0.8273339907955293,0.8848167539267016,764,191,14,
UAB,full,bandpower,random_forest,5,2,42,0.8979575062672092,0.9319371727748692,764,191,14,
UAB,full,fbcsp,lda,5,3,42,0.9450088430057992,0.9633507853403142,764,191,14,
UAB,full,fbcsp,svm,5,3,42,0.945015627570324,0.9633507853403142,764,191,14,
UAB,full,fbcsp,decision_tree,5,3,42,0.8585534435941743,0.9057591623036648,764,191,14,
UAB,full,fbcsp,random_forest,5,3,42,0.9136208526908688,0.9424083769633508,764,191,14,
UAB,full,bandpower,lda,5,3,42,0.9528336831707618,0.9685863874345548,764,191,14,
UAB,full,bandpower,svm,5,3,42,0.9450088430057992,0.9633507853403142,764,191,14,
UAB,full,bandpower,decision_tree,5,3,42,0.8664225769294059,0.9109947643979056,764,191,14,
UAB,full,bandpower,random_forest,5,3,42,0.9214121132323896,0.9476439790575916,764,191,14,
UAB,full,fbcsp,lda,5,4,42,0.9528879753340184,0.9685863874345548,764,191,14,
UAB,full,fbcsp,svm,5,4,42,0.9842908253485216,0.9895287958115184,764,191,14,
UAB,full,fbcsp,decision_tree,5,4,42,0.913574660633484,0.9424083769633508,764,191,14,
UAB,full,fbcsp,random_forest,5,4,42,0.960743207136104,0.9738219895287958,764,191,14,
UAB,full,bandpower,lda,5,4,42,0.9764381759118383,0.9842931937172776,764,191,14,
UAB,full,bandpower,svm,5,4,42,0.976431391905232,0.9842931937172776,764,191,14,
UAB,full,bandpower,decision_tree,5,4,42,0.8820842079269046,0.9214659685863874,764,191,14,
UAB,full,bandpower,random_forest,5,4,42,0.9450111047133338,0.9633507853403142,764,191,14,
UAB,full,fbcsp,lda,6,0,42,0.9918613809398792,0.9946236559139784,743,186,14,
UAB,full,fbcsp,svm,6,0,42,1.0,1.0,743,186,14,
UAB,full,fbcsp,decision_tree,6,0,42,0.9593655787128064,0.9731182795698924,743,186,14,
UAB,full,fbcsp,random_forest,6,0,42,1.0,1.0,743,186,14,
UAB,full,bandpower,lda,6,0,42,0.9673340358271864,0.978494623655914,743,186,14,
UAB,full,bandpower,svm,6,0,42,1.0,1.0,743,186,14,
UAB,full,bandpower,decision_tree,6,0,42,0.926317179453321,0.9516129032258064,743,186,14,
UAB,full,bandpower,random_forest,6,0,42,1.0,1.0,743,186,14,
UAB,full,fbcsp,lda,6,1,42,0.9918528252299604,0.9946236559139784,743,186,14,
UAB,full,fbcsp,svm,6,1,42,0.9918528252299604,0.9946236559139784,743,186,14,
UAB,full,fbcsp,decision_tree,6,1,42,0.9674284213291304,0.978494623655914,743,186,14,
UAB,full,fbcsp,random_forest,6,1,42,0.9918528252299604,0.9946236559139784,743,186,14,
UAB,full,bandpower,lda,6,1,42,1.0,1.0,743,186,14,
UAB,full,bandpower,svm,6,1,42,1.0,1.0,743,186,14,
UAB,full,bandpower,decision_tree,6,1,42,0.9267812623015352,0.9516129032258064,743,186,14,
UAB,full,bandpower,random_forest,6,1,42,0.9918645847001706,0.9946236559139784,743,186,14,
UAB,full,fbcsp,lda,6,2,42,0.9591621657225662,0.9731182795698924,743,186,14,
UAB,full,fbcsp,svm,6,2,42,0.9429547844374344,0.9623655913978496,743,186,14,
UAB,full,fbcsp,decision_tree,6,2,42,0.8936675461741425,0.9301075268817204,743,186,14,
UAB,full,fbcsp,random_forest,6,2,42,0.9511297950604308,0.967741935483871,743,186,14,
UAB,full,bandpower,lda,6,2,42,0.9918528252299604,0.9946236559139784,743,186,14,
UAB,full,bandpower,svm,6,2,42,0.9755937541005116,0.9838709677419356,743,186,14,
UAB,full,bandpower,decision_tree,6,2,42,0.9104634370487068,0.9408602150537636,743,186,14,
UAB,full,bandpower,random_forest,6,2,42,0.9918528252299604,0.9946236559139784,743,186,14,
UAB,full,fbcsp,lda,6,3,42,0.9918528252299604,0.9946236559139784,743,186,14,
UAB,full,fbcsp,svm,6,3,42,0.9918528252299604,0.9946236559139784,743,186,14,
UAB,full,fbcsp,decision_tree,6,3,42,0.9265402843601896,0.9516129032258064,743,186,14,
UAB,full,fbcsp,random_forest,6,3,42,0.9673941625032868,0.978494623655914,743,186,14,
UAB,full,bandpower,lda,6,3,42,0.99184961219929,0.9946236559139784,743,186,14,
UAB,full,bandpower,svm,6,3,42,0.9918613809398792,0.9946236559139784,743,186,14,
UAB,full,bandpower,decision_tree,6,3,42,0.8694565074351889,0.913978494623656,743,186,14,
UAB,full,bandpower,random_forest,6,3,42,0.99184961219929,0.9946236559139784,743,186,14,
UAB,full,fbcsp,lda,6,4,42,0.967137401190159,0.9783783783783784,744,185,14,
UAB,full,fbcsp,svm,6,4,42,0.9836196210377192,0.9891891891891892,744,185,14,
UAB,full,fbcsp,decision_tree,6,4,42,0.8935275367451745,0.9297297297297298,744,185,14,
