dataset,baseline,subject,fold,seed,kappa,accuracy,n_train,n_test,n_channels,error
STEW,bandpower,31,1,42,1.0,1.0,59,15,14,
STEW,bandpower,31,2,42,1.0,1.0,59,15,14,
STEW,bandpower,31,3,42,1.0,1.0,59,15,14,
STEW,bandpower,31,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,bandpower,32,0,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,32,1,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,32,2,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,32,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,32,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,bandpower,33,0,42,1.0,1.0,59,15,14,
STEW,bandpower,33,1,42,1.0,1.0,59,15,14,
STEW,bandpower,33,2,42,1.0,1.0,59,15,14,
STEW,bandpower,33,3,42,1.0,1.0,59,15,14,
STEW,bandpower,33,4,42,1.0,1.0,60,14,14,
STEW,bandpower,34,0,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,bandpower,34,1,42,1.0,1.0,59,15,14,
STEW,bandpower,34,2,42,1.0,1.0,59,15,14,
STEW,bandpower,34,3,42,1.0,1.0,59,15,14,
STEW,bandpower,34,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,bandpower,35,0,42,1.0,1.0,59,15,14,
STEW,bandpower,35,1,42,1.0,1.0,59,15,14,
STEW,bandpower,35,2,42,1.0,1.0,59,15,14,
STEW,bandpower,35,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,35,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,bandpower,36,0,42,1.0,1.0,59,15,14,
STEW,bandpower,36,1,42,1.0,1.0,59,15,14,
STEW,bandpower,36,2,42,0.6017699115044248,0.8,59,15,14,
STEW,bandpower,36,3,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,36,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,bandpower,37,0,42,1.0,1.0,59,15,14,
STEW,bandpower,37,1,42,1.0,1.0,59,15,14,
STEW,bandpower,37,2,42,1.0,1.0,59,15,14,
STEW,bandpower,37,3,42,1.0,1.0,59,15,14,
STEW,bandpower,37,4,42,1.0,1.0,60,14,14,
STEW,bandpower,38,0,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,38,1,42,1.0,1.0,59,15,14,
STEW,bandpower,38,2,42,1.0,1.0,59,15,14,
STEW,bandpower,38,3,42,1.0,1.0,59,15,14,
STEW,bandpower,38,4,42,1.0,1.0,60,14,14,
STEW,bandpower,39,0,42,1.0,1.0,59,15,14,
STEW,bandpower,39,1,42,1.0,1.0,59,15,14,
STEW,bandpower,39,2,42,1.0,1.0,59,15,14,
STEW,bandpower,39,3,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,39,4,42,1.0,1.0,60,14,14,
STEW,bandpower,40,0,42,1.0,1.0,59,15,14,
STEW,bandpower,40,1,42,1.0,1.0,59,15,14,
