dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,2,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,-0.0833,0.4583,48,78,134,68.0,166.0
BCI-IV-2b,2,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,0.0833,0.5417,48,86,134,69.0,157.0
BCI-IV-2b,2,within,within_fold0,0,1.0,1.0,pruned,0.2,True,inf,oplb,,0.0833,0.5417,48,36,154,75.0,173.0
BCI-IV-2b,2,within,within_fold0,1,1.0,1.0,pruned,0.2,True,inf,oplb,,-0.125,0.4375,48,86,154,83.0,164.0
BCI-IV-2b,2,within,within_fold0,2,1.0,1.0,pruned,0.2,True,inf,oplb,,0.125,0.5625,48,52,154,71.0,201.0
BCI-IV-2b,2,within,within_fold0,3,1.0,1.0,pruned,0.2,True,inf,oplb,,-0.0833,0.4583,48,46,154,76.0,216.0
BCI-IV-2b,2,within,within_fold0,42,1.0,1.0,pruned,0.2,True,inf,oplb,,0.1667,0.5833,48,50,154,77.0,172.0
BCI-IV-2b,2,within,within_fold0,0,1.0,1.0,pruned,0.2,False,inf,oplb,,-0.0833,0.4583,48,36,154,76.0,176.0
BCI-IV-2b,2,within,within_fold0,1,1.0,1.0,pruned,0.2,False,inf,oplb,,0.1667,0.5833,48,86,154,80.0,168.0
BCI-IV-2b,2,within,within_fold0,2,1.0,1.0,pruned,0.2,False,inf,oplb,,0.0,0.5,48,52,154,76.0,181.0
BCI-IV-2b,2,within,within_fold0,3,1.0,1.0,pruned,0.2,False,inf,oplb,,-0.0833,0.4583,48,46,154,67.0,193.0
BCI-IV-2b,2,within,within_fold0,42,1.0,1.0,pruned,0.2,False,inf,oplb,,-0.3333,0.3333,48,50,154,67.0,181.0
BCI-IV-2b,2,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,oplb,,-0.0833,0.4583,48,48,134,72.0,200.0
BCI-IV-2b,2,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,oplb,,-0.0417,0.4792,48,78,134,69.0,189.0
BCI-IV-2b,2,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,oplb,,0.1667,0.5833,48,54,134,70.0,188.0
BCI-IV-2b,2,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,oplb,,0.0417,0.5208,48,78,134,66.0,197.0
BCI-IV-2b,2,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,oplb,,-0.25,0.375,48,86,134,63.0,175.0
BCI-IV-2b,2,within,within_fold0,0,1.0,1.0,pruned,0.3,False,inf,oplb,,0.0833,0.5417,48,48,134,70.0,196.0
BCI-IV-2b,2,within,within_fold0,1,1.0,1.0,pruned,0.3,False,inf,oplb,,-0.125,0.4375,48,78,134,72.0,197.0
BCI-IV-2b,2,within,within_fold0,2,1.0,1.0,pruned,0.3,False,inf,oplb,,0.1667,0.5833,48,54,134,63.0,190.0
BCI-IV-2b,2,within,within_fold0,3,1.0,1.0,pruned,0.3,False,inf,oplb,,0.0833,0.5417,48,78,134,56.0,197.0
BCI-IV-2b,2,within,within_fold0,42,1.0,1.0,pruned,0.3,False,inf,oplb,,0.125,0.5625,48,86,134,71.0,181.0
BCI-IV-2b,2,official,official[0→1],0,1.0,0.1,pruned,0.2,True,inf,oplb,,0.0333,0.5167,120,74,96,50.0,360.0
BCI-IV-2b,2,official,official[0→1],1,1.0,0.1,pruned,0.2,True,inf,oplb,,-0.0333,0.4833,120,66,96,41.0,454.0
BCI-IV-2b,2,official,official[0→1],2,1.0,0.1,pruned,0.2,True,inf,oplb,,0.1,0.55,120,38,96,47.0,144.0
BCI-IV-2b,2,official,official[0→1],3,1.0,0.1,pruned,0.2,True,inf,oplb,,-0.0833,0.4583,120,66,96,51.0,360.0
BCI-IV-2b,2,official,official[0→1],42,1.0,0.1,pruned,0.2,True,inf,oplb,,0.0833,0.5417,120,72,96,46.0,361.0
BCI-IV-2b,2,official,official[0→1],0,1.0,0.1,pruned,0.2,False,inf,oplb,,0.0333,0.5167,120,74,96,50.0,360.0
BCI-IV-2b,2,official,official[0→1],1,1.0,0.1,pruned,0.2,False,inf,oplb,,-0.0333,0.4833,120,66,96,40.0,452.0
