dataset,feature_family,classifier,subject,protocol,fold,seed,kappa,accuracy,n_train,n_test,n_channels,error
STEW,fbcsp,svm,8,within,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,8,within,2,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,fbcsp,random_forest,8,within,2,42,1.0,1.0,59,15,14,
STEW,bandpower,lda,8,within,2,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,8,within,2,42,1.0,1.0,59,15,14,
STEW,bandpower,decision_tree,8,within,2,42,1.0,1.0,59,15,14,
STEW,bandpower,random_forest,8,within,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,lda,8,within,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,svm,8,within,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,8,within,3,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,fbcsp,random_forest,8,within,3,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,lda,8,within,3,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,8,within,3,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,decision_tree,8,within,3,42,1.0,1.0,59,15,14,
STEW,bandpower,random_forest,8,within,3,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,lda,8,within,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,fbcsp,svm,8,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,decision_tree,8,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,random_forest,8,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,lda,8,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,svm,8,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,decision_tree,8,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,random_forest,8,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,lda,9,within,0,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,svm,9,within,0,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,decision_tree,9,within,0,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,fbcsp,random_forest,9,within,0,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,lda,9,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,9,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,decision_tree,9,within,0,42,0.4545454545454546,0.7333333333333333,59,15,14,
STEW,bandpower,random_forest,9,within,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,lda,9,within,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,svm,9,within,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,9,within,1,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,random_forest,9,within,1,42,1.0,1.0,59,15,14,
STEW,bandpower,lda,9,within,1,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,svm,9,within,1,42,0.6017699115044248,0.8,59,15,14,
STEW,bandpower,decision_tree,9,within,1,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,bandpower,random_forest,9,within,1,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,fbcsp,lda,9,within,2,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,svm,9,within,2,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,fbcsp,decision_tree,9,within,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,random_forest,9,within,2,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,lda,9,within,2,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,9,within,2,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,bandpower,decision_tree,9,within,2,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,random_forest,9,within,2,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,lda,9,within,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,svm,9,within,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,9,within,3,42,0.22413793103448265,0.6,59,15,14,
STEW,fbcsp,random_forest,9,within,3,42,1.0,1.0,59,15,14,
STEW,bandpower,lda,9,within,3,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,9,within,3,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,bandpower,decision_tree,9,within,3,42,0.4642857142857143,0.7333333333333333,59,15,14,
STEW,bandpower,random_forest,9,within,3,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,fbcsp,lda,9,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,svm,9,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,decision_tree,9,within,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,fbcsp,random_forest,9,within,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,bandpower,lda,9,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,svm,9,within,4,42,1.0,1.0,60,14,14,
