dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,online_heads,window_size,discount_gamma,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,3,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.0667,0.5333,120,52,84,41.0,361.0
BCI-IV-2b,3,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.2667,0.6333,120,64,84,38.0,366.0
BCI-IV-2b,3,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,-0.0167,0.4917,120,16,84,27.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.05,0.525,120,96,84,38.0,375.0
BCI-IV-2b,3,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.0667,0.5333,120,18,84,26.0,360.0
BCI-IV-2b,3,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.1333,0.5667,120,52,84,37.0,360.0
BCI-IV-2b,3,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.2667,0.6333,120,64,84,41.0,373.0
BCI-IV-2b,3,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.0833,0.5417,120,16,84,31.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.0,0.5,120,96,84,46.0,362.0
BCI-IV-2b,3,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.2167,0.6083,120,18,84,28.0,360.0
BCI-IV-2b,3,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.0667,0.5333,120,52,84,43.0,382.0
BCI-IV-2b,3,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.2333,0.6167,120,64,84,45.0,385.0
BCI-IV-2b,3,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.1,0.55,120,16,84,30.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.05,0.525,120,96,84,44.0,365.0
BCI-IV-2b,3,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.2167,0.6083,120,18,84,30.0,360.0
BCI-IV-2b,3,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,-0.0167,0.4917,120,52,84,44.0,382.0
BCI-IV-2b,3,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.2667,0.6333,120,64,84,42.0,399.0
BCI-IV-2b,4,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.6154,0.8077,52,84,146,47.0,187.0
BCI-IV-2b,4,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.6923,0.8462,52,82,146,30.0,167.0
BCI-IV-2b,4,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.5385,0.7692,52,90,146,47.0,177.0
BCI-IV-2b,4,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.6538,0.8269,52,70,146,38.0,169.0
BCI-IV-2b,4,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.4231,0.7115,52,86,146,37.0,163.0
BCI-IV-2b,4,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.7692,0.8846,52,84,146,44.0,171.0
BCI-IV-2b,4,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.6154,0.8077,52,82,146,42.0,178.0
BCI-IV-2b,4,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.5385,0.7692,52,90,146,43.0,165.0
BCI-IV-2b,4,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.6538,0.8269,52,70,146,32.0,158.0
BCI-IV-2b,4,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.2308,0.6154,52,86,146,32.0,160.0
BCI-IV-2b,4,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.6923,0.8462,52,84,146,34.0,163.0
BCI-IV-2b,4,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.6154,0.8077,52,82,146,54.0,191.0
BCI-IV-2b,4,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.5385,0.7692,52,90,146,51.0,163.0
BCI-IV-2b,4,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.5769,0.7885,52,70,146,39.0,162.0
BCI-IV-2b,4,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.5,0.75,52,86,146,35.0,164.0
BCI-IV-2b,4,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.7692,0.8846,52,84,146,39.0,165.0
BCI-IV-2b,4,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.1538,0.5769,52,82,146,55.0,196.0
BCI-IV-2b,4,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.5385,0.7692,52,90,146,55.0,176.0
BCI-IV-2b,4,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.7308,0.8654,52,70,146,36.0,158.0
BCI-IV-2b,4,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.3077,0.6538,52,86,146,38.0,175.0
BCI-IV-2b,4,official,official[0→1],0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.4143,0.7071,140,86,84,22.0,420.0
BCI-IV-2b,4,official,official[0→1],1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.6429,0.8214,140,84,84,25.0,443.0
BCI-IV-2b,4,official,official[0→1],2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.5714,0.7857,140,100,84,29.0,433.0
BCI-IV-2b,4,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.0571,0.5286,140,76,84,26.0,439.0
BCI-IV-2b,4,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.7,0.85,140,86,84,18.0,420.0
