dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,3,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,fixed,,0.2083,0.6042,48,86,134,61.0,144.0
BCI-IV-2b,3,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,fixed,,0.25,0.625,48,84,134,64.0,144.0
BCI-IV-2b,3,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,fixed,,0.0833,0.5417,48,42,134,72.0,144.0
BCI-IV-2b,3,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,fixed,,-0.0417,0.4792,48,76,134,71.0,144.0
BCI-IV-2b,3,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.0,0.5,48,46,134,63.0,145.0
BCI-IV-2b,3,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.25,0.625,48,86,134,64.0,145.0
BCI-IV-2b,3,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.1667,0.5833,48,84,134,63.0,168.0
BCI-IV-2b,3,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.125,0.5625,48,42,134,66.0,145.0
BCI-IV-2b,3,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,eps_greedy,0.1,0.125,0.5625,48,76,134,76.0,146.0
BCI-IV-2b,3,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.375,0.6875,48,46,134,71.0,inf
BCI-IV-2b,3,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.125,0.5625,48,86,134,74.0,inf
BCI-IV-2b,3,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.125,0.5625,48,84,134,65.0,inf
BCI-IV-2b,3,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.1667,0.5833,48,42,134,64.0,inf
BCI-IV-2b,3,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,unconstrained,,0.0833,0.5417,48,76,134,67.0,inf
BCI-IV-2b,3,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,0.1333,0.5667,120,16,84,29.0,360.0
